127.0.0.1 - - [01/Dec/2017:11:32:55 +0530] "GET / HTTP/1.1" 404 1070
127.0.0.1 - - [01/Dec/2017:11:32:56 +0530] "GET /Collaboration/ HTTP/1.1" 200 13181
127.0.0.1 - - [01/Dec/2017:11:32:56 +0530] "GET /Collaboration/assets/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Dec/2017:11:32:57 +0530] "GET /Collaboration/assets/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Dec/2017:11:32:57 +0530] "GET /Collaboration/assets/css/form-elements.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Dec/2017:11:32:57 +0530] "GET /Collaboration/assets/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Dec/2017:11:32:57 +0530] "GET /Collaboration/assets/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Dec/2017:11:32:57 +0530] "GET /Collaboration/assets/js/jquery.backstretch.min.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Dec/2017:11:32:57 +0530] "GET /Collaboration/assets/bootstrap/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
127.0.0.1 - - [01/Dec/2017:11:32:57 +0530] "GET /Collaboration/assets/font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
127.0.0.1 - - [01/Dec/2017:11:33:11 +0530] "GET /Collaboration/assets/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Dec/2017:11:33:11 +0530] "GET /Collaboration/assets/js/jquery.backstretch.min.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Dec/2017:11:33:11 +0530] "GET /Collaboration/assets/js/scripts.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Dec/2017:11:33:12 +0530] "GET /Collaboration/assets/js/placeholder.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Dec/2017:11:33:12 +0530] "GET /Collaboration/assets/img/backgrounds/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:33:43 +0530] "GET /Collaboration/ HTTP/1.1" 200 13181
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:33:44 +0530] "GET /Collaboration/assets/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:33:44 +0530] "GET /Collaboration/assets/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:33:44 +0530] "GET /Collaboration/assets/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:33:44 +0530] "GET /Collaboration/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:33:44 +0530] "GET /Collaboration/assets/css/form-elements.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:33:44 +0530] "GET /Collaboration/assets/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:33:44 +0530] "GET /Collaboration/assets/js/jquery.backstretch.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:33:44 +0530] "GET /Collaboration/assets/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:33:44 +0530] "GET /Collaboration/assets/font-awesome/fonts/fontawesome-webfont.woff2?v=4.4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:33:45 +0530] "GET /Collaboration/assets/img/backgrounds/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:48:40 +0530] "GET /Collaboration/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:48:40 +0530] "GET /Collaboration/assets/ico/favicon.png HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:58:03 +0530] "GET /Collaboration/ HTTP/1.1" 200 13713
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:58:04 +0530] "GET /Collaboration/assets/ico/favicon.png HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:58:54 +0530] "GET /Collaboration/ HTTP/1.1" 200 13721
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:58:55 +0530] "GET /Collaboration/assets/ico/favicon.png HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:59:05 +0530] "GET /Collaboration/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:59:06 +0530] "GET /Collaboration/assets/ico/favicon.png HTTP/1.1" 200 641
